ID;skos:notation;skos:topConcept;skos:inScheme;skos:narrower;skos:broader;skos:prefLabel;skos:altLabel;skos:scopeNote;skos:note;skos:editorialNote
45;NT1;;ja;;NT;Reformationszeit (ab 1500);;;;
46;NT2;;ja;;NT;Barockliteratur (ab Theobald Hock 1573);;;;
47;NT3;;ja;;NT;Beginn der Aufklärung, Renaissance (ab Canitz 1654);;;;
48;NT4;;ja;;NT;Aufklärung, Vorbereitung der Klassik (ab Klopstock 1724);;;;
49;NT5;;ja;;NT;Goethe und seine Zeit (ab Herder 1744);;;;
50;NT6;;ja;;NT;Die Generation der Romantik (ab A. W. Schlegel 1767);;;;
51;NT7;;ja;;NT;Vormärz, Realismus des 19. Jahrhunderts (ab Grillparzer 1791);;;;
52;NT8;;ja;;NT;Naturalismus und Symbolismus (ab Nietzsche 1844);;;;
53;NT9;;ja;;NT;Expressionismus (ab G. Kaiser 1878);;;;
54;NT10;;ja;;NT;Moderne (Schriftsteller*innen ab 1914);;;;
55;NT11;;ja;;NT;Schriftsteller*innen ab 1945;;;;
56;NT12;;ja;;NT;Schriftsteller*innen ab 1980 (einschließlich Migrant*innenliteratur);;;;
57;Se;topConcept;;;;Serien;;Dies sind meist ältere philologische Schriften literaturwissenschaftlicher Verlagsreihen mit übergeordnetem Gesamttitel.;;
58;Sp;topConcept;;Sp1+Sp2, Sp3, Sp4, Sp5;;Sprachwissenschaft (Linguistik);;;;
59;Sp1+Sp2;;ja;Sp1.0, Sp1.1, Sp1.2, Sp1.3, Sp1.4, Sp1.5, Sp2.1, Sp2.2, Sp2.3, Sp2.4, Sp2.5;Sp;"Allgemeine und vergleichende Sprachwissenschaft; Angewandte und empirische Linguistik";;;;
60;Sp1.0;;ja;;Sp1+Sp2;Linguistik, populär;;;;
61;Sp1.1;;ja;;Sp1+Sp2;Geschichte der Sprachwissenschaft, Nachschlagewerke, Einführungen;;;;
62;Sp1.2;;ja;;Sp1+Sp2;Allgemeines, Sprachtheorie;;;;
63;Sp1.3;;ja;;Sp1+Sp2;Phonetik, Phonologie (bis Erscheinungsjahr 2002);;;;
64;Sp1.4;;ja;;Sp1+Sp2;Morphologie, Syntax, Semantik (bis Erscheinungsjahr 2002);;;;
65;Sp1.5;;ja;;Sp1+Sp2;Phonetik, Phonologie, Morphologie, Syntax, Semantik (ab Erscheinungsjahr 2003);;;;
66;Sp2.1;;ja;;Sp1+Sp2;Sprachphilosophie, Pragmatik, Logik, Semiotik;;;;
67;Sp2.2;;ja;;Sp1+Sp2;Sprachsoziologie, Soziolinguistik, Spracherwerb, Mehrsprachigkeit;;;;
68;Sp2.3;;ja;;Sp1+Sp2;Kybernetik, Informations- und Kommunikationstheorie, mathematische Linguistik, Computerlinguistik;;;;
69;Sp2.4;;ja;;Sp1+Sp2;Deutsch als Fremdsprache, Fremdsprachenunterricht, Fachsprache, Deutsch als Minderheitensprache, Lexikographie;;;;
70;Sp2.5;;ja;;Sp1+Sp2;Psycholinguistik, Neurolinguistik, Kognitive Linguistik;;;;
71;Sp3;;ja;Sp3.1, Sp3.2, Sp3.3, Sp3.4, Sp3.5, Sp3.6;Sp;Deutsche Sprachwissenschaft;;;;
72;Sp3.1;;ja;;Sp3;Grammatik (Gesamt- und Einzeldarstellungen);;;;
73;Sp3.2;;ja;;Sp3;Phonetik, Phonologie;;;;
74;Sp3.3;;ja;;Sp3;Morphologie, Syntax, Semantik, Pragmatik;;;;
75;Sp3.4;;ja;;Sp3;Soziologie, Politik, Politische Rede, Öffentlichkeit, Sprachkritik;;;;
76;Sp3.5;;ja;;Sp3;Phonetik, Phonologie, Morphologie, Syntax, Semantik, Pragmatik (ab Erscheinungsjahr 2003);;;;
77;Sp3.6;;ja;;Sp3;Graphematik / Schriftlinguistik;;;;
78;Sp4;;ja;Sp4.1, Sp4.2, Sp4.3, Sp4.4, Sp4.5;Sp;Historische Linguistik und Dialektologie;;;;
79;Sp4.1;;ja;;Sp4;Indoeuropäisch;;;;
80;Sp4.2;;ja;;Sp4;Germanische Sprachen;;;;
81;Sp4.3;;ja;;Sp4;Deutsche Sprachgeschichte;;;;
82;Sp4.4;;ja;;Sp4;Deutsche Mundarten;;;;
83;Sp4.5;;ja;;Sp4;Allg. historische Linguistik und Dialektologie, Sonstige Sprachen;;;;
84;Sp5;;ja;Sp5.1, Sp5.2, Sp5.3, Sp5.4;Sp;Textlinguistik, Gesprächsanalyse;;;;
85;Sp5.1;;ja;;Sp5;Textlinguistik, linguistische Gesprächsanalyse, Kommunikationsanalyse, Nonverbale Kommunikation;;;;
86;Sp5.2;;ja;;Sp5;Poetik und Linguistik;;;;
87;Sp5.3;;ja;;Sp5;Rhetorik, Argumentation, Geschichte der Kommunikation;;;;
88;Sp5.4;;ja;;Sp5;Sprachrichtigkeit, Sprachpflege, Sprecherziehung, Sprechwissenschaft;;;;
89;Vo;topConcept;;;;Volkskunde;;Volkskunde einzelner Landschaften, Kreise, Städte // Glaube und Brauch (Religionsgeschichte, Mythologie, Aberglaube u.a.) // Volksmedizin // Trachten, Tanz // Volksdichtung, Allg.(gattungsübergreifend) // Volkssage // Legende (Abhandlungen und Texte) // Volksbuch // Märchen und Schwank // Rätsel und Sprichworte // Volkslied (Sammlungen, dann Abhandlungen) // Geistliches Lied // Volksschauspiel;;
90;W;topConcept;;;;Wörterbücher;;Deutsche Wörterbücher // Fremdwörterbücher, Spruchwörterbücher, Redewendungen, Zitatenlexika // Wortgeschichte // Mundartenwortschatz // Namenkunde // Wörterbücher anderer Sprachen;;
91;Z;topConcept;;;;Zeitschriften;;;Zeitschriftenhefte des laufenden Jahrgangs können beim Bibliotheksteam in den Zimmern 2.003 und 2.004 bei Hinterlegung eines Ausweises eingesehen werden, soweit die Hefte nicht in der Zeitschriftenauslage liegen.;
